ticketId,subject,expected_category,actual_category,category_match,expected_priority,actual_priority,priority_match,expected_sentiment,actual_sentiment,sentiment_match,processing_status,latency_seconds,draft_generated
df0ad6a2-aec2-4309-a6f7-0b5cf8641bc6,Password Reset Help,Password Reset Enquiry,Account Management,True,Low,Medium,False,Neutral,Neutral,True,processed,7.14,Yes
5b099020-a242-4c0f-ac15-ec0d6a469c44,Password Recovery,Password Reset Enquiry,Account Access,True,Low,Medium,False,Neutral,Neutral,True,processed,7.26,Yes
a9ddb098-168c-4dfc-9a8a-cc1a85cbbe5d,Reset Password Guide,Password Reset Enquiry,Account Management,True,Low,Medium,False,Neutral,Neutral,True,processed,4.2,Yes
0b65df73-3b46-4a0c-8556-27c9b5dccd70,Password Assistance,Password Reset Enquiry,Account Access,True,Low,Medium,False,Neutral,Neutral,True,processed,4.02,Yes
4a69b88c-6c8d-4acf-adfd-ba75a207b4a3,Reset Link,Password Reset Enquiry,Technical Support,True,Low,Medium,False,Neutral,Neutral,True,processed,4.2,Yes
1c97af06-4e13-42a2-a703-43eaa3c88afa,Account Help,Password Reset Enquiry,Account Help,True,Low,Medium,False,Neutral,Neutral,True,processed,4.38,Yes
80379d5e-3b73-49d9-a41d-3094923099dd,Password Query,Password Reset Enquiry,Account Management,True,Low,Medium,False,Neutral,Neutral,True,processed,4.21,Yes
568a4b8f-5ce0-4672-802b-fccb18fc960a,Recover Account,Password Reset Enquiry,Account Recovery,True,Low,High,False,Neutral,Neutral,True,processed,7.58,Yes
48cb25e4-8d45-4773-8cf6-6ae5eaa299b1,Password Information,Password Reset Enquiry,Account Management,True,Low,Medium,False,Neutral,Neutral,True,processed,4.14,Yes
af38a1ee-b91c-4083-8383-a9c5f310001e,Need Help,Password Reset Enquiry,Account Management,True,Low,Medium,False,Neutral,Neutral,True,processed,4.98,Yes
644735ab-83a9-4abe-a253-1ec1117536b3,Password Support,Password Reset Enquiry,Password Support,True,Low,Medium,False,Neutral,Neutral,True,processed,4.81,Yes
8de9e2a6-6fb5-4c44-ad8d-c4d578f73ae5,Reset Instructions,Password Reset Enquiry,Account Management,True,Low,Medium,False,Neutral,Neutral,True,processed,4.2,Yes
ef8ac330-a207-444f-afeb-66cbda788062,Password Recovery Help,Password Reset Enquiry,Account Access,True,Low,Medium,False,Neutral,Neutral,True,processed,4.2,Yes
50ae05ee-19c1-4698-8936-f6f26494bad5,Login Problem,Password Reset Enquiry,Account Access,True,Medium,High,False,Neutral,Neutral,True,processed,4.4,Yes
a73cb6a7-7676-46f2-8dd2-2f2c6a4faf4f,Password Question,Password Reset Enquiry,Account Access,True,Low,Medium,False,Neutral,Neutral,True,processed,4.61,Yes
f844507e-0fd8-416e-85e9-57362d9a2319,Reset Password,Password Reset,Account Management,True,High,High,True,Negative,Urgent,False,processed,4.4,Yes
410cda47-fe6d-4f01-81b1-9b4aff6657ae,Unable to Login,Password Reset,Account Access,True,High,High,True,Negative,Negative,True,processed,4.02,Yes
c35a50d6-354a-4a78-aaae-41c57d78fd55,Password Reset Request,Password Reset,Account Management,True,Medium,Medium,True,Negative,Neutral,False,processed,4.13,Yes
d59201b8-f318-4d03-8560-9c04365e7d41,Forgot Password,Password Reset,Account Access,True,Medium,Medium,True,Negative,Neutral,False,processed,4.2,Yes
79cb7407-edbc-47e3-a171-e5026f3bfc54,Login Issue,Password Reset,Account Management,True,Medium,High,False,Negative,Neutral,False,processed,4.03,Yes
0e44f471-75ca-4ee0-8a4c-d54a94d99f8d,Password Problem,Password Reset,Account Access,True,Medium,Medium,True,Negative,Neutral,False,processed,3.89,Yes
